hidden_size,num_epochs,batch_size,learning_rate,dropout_prob,MSE,R2
"[64, 128, 256]",15,32,0.01,0.0,0.006486597470939159,0.9712283368242002
"[64, 128, 256]",10,32,0.01,0.1,0.007036963012069464,0.9628857841194038
"[64, 128, 256]",8,32,0.01,0.2,0.013576030731201172,0.9109952833135031
"[64, 128, 256]",63,32,0.001,0.0,0.010225353762507439,0.9555366591346565
"[64, 128, 256]",25,32,0.001,0.1,0.010586545802652836,0.94669978156863
"[64, 128, 256]",24,32,0.001,0.2,0.02438242733478546,0.8463196277820682
"[64, 128, 256]",17,64,0.01,0.0,0.0063752103596925735,0.9719286609932934
"[64, 128, 256]",22,64,0.01,0.1,0.007215949706733227,0.9616738109765779
"[64, 128, 256]",8,64,0.01,0.2,0.013949633575975895,0.9136437735669649
"[64, 128, 256]",102,64,0.001,0.0,0.011481626890599728,0.9505355633386681
"[64, 128, 256]",55,64,0.001,0.1,0.009878830052912235,0.9510073664507569
"[64, 128, 256]",28,64,0.001,0.2,0.03687216714024544,0.7434116437275529
"[64, 128, 256]",40,128,0.01,0.0,0.006628328002989292,0.9708515138712879
"[64, 128, 256]",22,128,0.01,0.1,0.007877347990870476,0.9593165337457246
"[64, 128, 256]",33,128,0.01,0.2,0.015501884743571281,0.8983160957829975
"[64, 128, 256]",175,128,0.001,0.0,0.009613133035600185,0.9585448697903449
"[64, 128, 256]",94,128,0.001,0.1,0.012269191443920135,0.9373420981435124
"[64, 128, 256]",63,128,0.001,0.2,0.021973812952637672,0.8653440865712262
"[64, 128, 256]",66,256,0.01,0.0,0.007028185762465,0.9688404381449766
"[64, 128, 256]",36,256,0.01,0.1,0.007799048442393541,0.960719285647708
"[64, 128, 256]",18,256,0.01,0.2,0.01345597580075264,0.9214389061034088
"[64, 128, 256]",200,256,0.001,0.0,0.012229176238179207,0.946569583367329
"[64, 128, 256]",147,256,0.001,0.1,0.012992962263524532,0.9343210057317951
"[64, 128, 256]",58,256,0.001,0.2,0.019533498212695122,0.8878731220715163
"[128, 64, 128]",16,16,0.01,0.0,0.0053960648365318775,0.9769348551700396
"[128, 64, 128]",9,16,0.01,0.1,0.005474907346069813,0.9741150171036043
"[128, 64, 128]",8,16,0.01,0.2,0.010123764164745808,0.9397025703676811
"[128, 64, 128]",37,16,0.001,0.0,0.008651026524603367,0.9627207547007118
"[128, 64, 128]",35,16,0.001,0.1,0.006093413569033146,0.9713269344057471
"[128, 64, 128]",23,16,0.001,0.2,0.01313057541847229,0.92616158759108
"[128, 64, 128]",11,32,0.01,0.0,0.0061394572257995605,0.9735921890918214
"[128, 64, 128]",20,32,0.01,0.1,0.0062092668376863,0.9684326064699197
"[128, 64, 128]",6,32,0.01,0.2,0.01081843115389347,0.9347363521627428
"[128, 64, 128]",60,32,0.001,0.0,0.00919520016759634,0.959812928868935
"[128, 64, 128]",56,32,0.001,0.1,0.006433698348701,0.970121443986375
"[128, 64, 128]",30,32,0.001,0.2,0.014002177864313126,0.9227590015290164
"[128, 64, 128]",18,64,0.01,0.0,0.005901487544178963,0.9735811103073997
"[128, 64, 128]",16,64,0.01,0.1,0.00627260422334075,0.9686455779836989
"[128, 64, 128]",3,64,0.01,0.2,0.013782118447124958,0.9224520081122942
"[128, 64, 128]",114,64,0.001,0.0,0.008535165339708328,0.9624835571546981
"[128, 64, 128]",62,64,0.001,0.1,0.0071646240539848804,0.9664837018550793
"[128, 64, 128]",51,64,0.001,0.2,0.010472574271261692,0.9457054888762927
"[128, 64, 128]",24,128,0.01,0.0,0.006086039822548628,0.9732189264688316
"[128, 64, 128]",27,128,0.01,0.1,0.006382465828210115,0.9688330842512699
"[128, 64, 128]",7,128,0.01,0.2,0.012033002451062202,0.9328220154343988
"[128, 64, 128]",197,128,0.001,0.0,0.008898954838514328,0.961103871836516
"[128, 64, 128]",125,128,0.001,0.1,0.007530368398874998,0.9642846455010254
"[128, 64, 128]",60,128,0.001,0.2,0.011051594279706478,0.944199559434208
"[128, 64, 128]",59,256,0.01,0.0,0.006406949833035469,0.9716148022733939
"[128, 64, 128]",43,256,0.01,0.1,0.006071419455111027,0.970944391682229
"[128, 64, 128]",31,256,0.01,0.2,0.012318170629441738,0.9265703193470627
"[128, 64, 128]",200,256,0.001,0.0,0.011117362417280674,0.9514683357908504
"[128, 64, 128]",160,256,0.001,0.1,0.008368506096303463,0.9604773110417132
"[128, 64, 128]",89,256,0.001,0.2,0.012350956909358501,0.9345132392060996
"[128, 128, 128]",8,16,0.01,0.0,0.005618297960609198,0.9749738388550011
"[128, 128, 128]",12,16,0.01,0.1,0.006044760346412659,0.9698789804805695
"[128, 128, 128]",12,16,0.01,0.2,0.009334776550531387,0.9456603636798284
"[128, 128, 128]",34,16,0.001,0.0,0.009209698997437954,0.9604461430352523
"[128, 128, 128]",62,16,0.001,0.1,0.00612663896754384,0.9714424204398375
"[128, 128, 128]",47,16,0.001,0.2,0.00754260178655386,0.9629513301463482
"[128, 128, 128]",8,32,0.01,0.0,0.005910456646233797,0.9739156865442923
"[128, 128, 128]",10,32,0.01,0.1,0.005565634462982416,0.9750894963225962
"[128, 128, 128]",4,32,0.01,0.2,0.0119710061699152,0.9323570127071672
"[128, 128, 128]",46,32,0.001,0.0,0.011043151840567589,0.9520668041680092
