hidden_size,num_epochs,batch_size,learning_rate,dropout_prob,MSE,R2
"[128, 128, 128]",16,4,0.01,0.2,0.0112286787480115,0.9505795473482276
"[256, 256, 256]",16,4,0.01,0.0,0.0063845124095678,0.9719362032162322
"[256, 256, 256]",23,4,0.01,0.1,0.0081354556605219,0.9632468459677702
"[256, 256, 256]",26,4,0.01,0.2,0.0093465717509388,0.9547119458756298
"[512, 512, 512]",9,4,0.01,0.0,0.0067630573175847,0.9695385602130736
"[512, 512, 512]",19,4,0.01,0.1,0.0074955117888748,0.9656230170382676
"[512, 512, 512]",32,4,0.01,0.2,0.0085856951773166,0.9591193136894824
"[128, 64, 128]",25,4,0.01,0.0,0.0064349258318543,0.9719511736187728
"[128, 64, 128]",39,4,0.01,0.1,0.0089819617569446,0.961926818818455
"[128, 64, 128]",27,4,0.01,0.2,0.0116260359063744,0.9457484769705584
"[256, 128, 256]",14,4,0.01,0.0,0.0066509847529232,0.9705831524091983
"[256, 128, 256]",15,4,0.01,0.1,0.0080526024103164,0.9632233387959612
"[256, 128, 256]",7,4,0.01,0.2,0.0119880000129342,0.943888537013955
"[512, 256, 512]",16,4,0.01,0.0,0.0067347884178161,0.96987642137488
"[512, 256, 512]",37,4,0.01,0.1,0.007229103706777,0.9663614753866046
"[512, 256, 512]",22,4,0.01,0.2,0.0084401061758399,0.9611260657411304
"[64, 128, 64]",26,4,0.01,0.0,0.0066745709627866,0.9698750829230656
"[64, 128, 64]",28,4,0.01,0.1,0.0092079481109976,0.9581807730081138
"[64, 128, 64]",14,4,0.01,0.2,0.013388630002737,0.9359375946847656
"[128, 256, 128]",14,4,0.01,0.0,0.0067109423689544,0.9702593384904492
"[128, 256, 128]",21,4,0.01,0.1,0.0080965673550963,0.9635406701932154
"[128, 256, 128]",22,4,0.01,0.2,0.0106076225638389,0.9526383224198104
"[256, 512, 256]",16,4,0.01,0.0,0.0064657274633646,0.970005940480084
"[256, 512, 256]",33,4,0.01,0.1,0.0075634769164025,0.9652006528384246
"[256, 512, 256]",30,4,0.01,0.2,0.0086362157016992,0.9590225920276229
"[16, 16, 16]",89,8,0.001,0.0,0.0070200283080339,0.9683280708871752
"[16, 16, 16]",77,8,0.001,0.1,0.0196432564407587,0.9058359775677288
"[16, 16, 16]",34,8,0.001,0.2,0.0275191590189933,0.8519386123616124
"[32, 32, 32]",43,8,0.001,0.0,0.0070209191180765,0.9686716617769028
"[32, 32, 32]",53,8,0.001,0.1,0.0139254862442612,0.9396573460537808
"[32, 32, 32]",47,8,0.001,0.2,0.0241125002503395,0.8819959566190905
"[64, 64, 64]",34,8,0.001,0.0,0.0069925026036798,0.9684518362605096
"[64, 64, 64]",69,8,0.001,0.1,0.0112186456099152,0.947329836214593
"[64, 64, 64]",53,8,0.001,0.2,0.0146208582445979,0.9350068804289444
"[16, 8, 16]",64,8,0.001,0.0,0.0070857615210115,0.9679781417457004
"[16, 8, 16]",47,8,0.001,0.1,0.0195485278964042,0.9104281567455462
"[16, 8, 16]",30,8,0.001,0.2,0.0403649136424064,0.7842639048097358
"[32, 16, 32]",35,8,0.001,0.0,0.0073612723499536,0.9664833806074536
"[32, 16, 32]",41,8,0.001,0.1,0.0162031557410955,0.9246261834545464
"[32, 16, 32]",33,8,0.001,0.2,0.0214152261614799,0.895033382218214
"[64, 32, 64]",40,8,0.001,0.0,0.0069352341815829,0.9685431722825798
"[64, 32, 64]",73,8,0.001,0.1,0.0121557815000414,0.946467205181139
"[64, 32, 64]",55,8,0.001,0.2,0.0170055106282234,0.9188100090153276
"[16, 32, 16]",64,8,0.001,0.0,0.0067694201134145,0.9696903912023042
"[16, 32, 16]",40,8,0.001,0.1,0.0201551001518964,0.9007445489159271
"[16, 32, 16]",49,8,0.001,0.2,0.0384558513760566,0.8050558607309958
"[32, 64, 32]",71,8,0.001,0.0,0.0067638377659022,0.9691768230947524
"[32, 64, 32]",31,8,0.001,0.1,0.0145106278359889,0.9308621526170692
"[32, 64, 32]",38,8,0.001,0.2,0.0180554874241352,0.9129588524902092
"[32, 64, 32]",47,8,0.001,0.0,0.006870771292597,0.969394240340687
"[32, 64, 32]",56,8,0.001,0.1,0.012531996704638,0.9425333435372945
"[32, 64, 32]",42,8,0.001,0.2,0.0182155445218086,0.9124335805645556
"[128, 128, 128]",37,8,0.001,0.0,0.0068867052905261,0.968857024099344
"[128, 128, 128]",63,8,0.001,0.1,0.0099109774455428,0.953594260831305
"[128, 128, 128]",71,8,0.001,0.2,0.0119808996096253,0.9464890287767828
"[256, 256, 256]",41,8,0.001,0.0,0.0067882565781474,0.968591177777062
"[256, 256, 256]",56,8,0.001,0.1,0.00954170525074,0.958400259112029
"[256, 256, 256]",90,8,0.001,0.2,0.0101468143984675,0.9542855765828576
"[512, 512, 512]",40,8,0.001,0.0,0.0063872532919049,0.9709245392846564
"[512, 512, 512]",59,8,0.001,0.1,0.0082802036777138,0.9631877938418938
"[512, 512, 512]",61,8,0.001,0.2,0.009243594482541,0.9585035263985624
"[128, 64, 128]",58,8,0.001,0.0,0.006652601994574,0.9701509281895327
"[128, 64, 128]",67,8,0.001,0.1,0.0095645934343338,0.9576104937156288
"[128, 64, 128]",41,8,0.001,0.2,0.0121864266693592,0.9425242341427196
"[256, 128, 256]",25,8,0.001,0.0,0.0069494359195232,0.9686139605377728
"[256, 128, 256]",86,8,0.001,0.1,0.0087984343990683,0.959160245763658
"[256, 128, 256]",63,8,0.001,0.2,0.0103779872879385,0.954395368132816
"[512, 256, 512]",51,8,0.001,0.0,0.0066866362467408,0.9693630560987052
"[512, 256, 512]",68,8,0.001,0.1,0.008600209839642,0.9608592989562456
"[512, 256, 512]",38,8,0.001,0.2,0.0110566122457385,0.9499425681153792
"[64, 128, 64]",74,8,0.001,0.0,0.0066538481041789,0.9698791275691911
"[64, 128, 64]",37,8,0.001,0.1,0.0116459215059876,0.947252289773754
"[64, 128, 64]",36,8,0.001,0.2,0.0155138075351715,0.929377525822822
"[128, 256, 128]",26,8,0.001,0.0,0.0070133437402546,0.9682038456081168
"[128, 256, 128]",56,8,0.001,0.1,0.0096096768975257,0.956946386721658
"[128, 256, 128]",35,8,0.001,0.2,0.0126558300107717,0.9420199696489588
"[256, 512, 256]",71,8,0.001,0.0,0.0064831869676709,0.9706112518914742
"[256, 512, 256]",44,8,0.001,0.1,0.0095391981303691,0.956394295659522
"[256, 512, 256]",40,8,0.001,0.2,0.0115361958742141,0.9484653194747376
"[16, 16, 16]",43,8,0.01,0.0,0.0070830602198839,0.9674223531292782
"[16, 16, 16]",9,8,0.01,0.1,0.0222938228398561,0.8919892316526729
"[16, 16, 16]",16,8,0.01,0.2,0.0496418178081512,0.7331972120857997
"[32, 32, 32]",37,8,0.01,0.0,0.0068030753172934,0.9700829284114474
"[32, 32, 32]",33,8,0.01,0.1,0.0126181710511446,0.9417531571051168
"[32, 32, 32]",42,8,0.01,0.2,0.0171861127018928,0.9172124587719548
"[64, 64, 64]",22,8,0.01,0.0,0.0066369394771754,0.9692931311233128
"[64, 64, 64]",25,8,0.01,0.1,0.0104002133011817,0.9508762277010144
"[64, 64, 64]",16,8,0.01,0.2,0.0134071903303265,0.9402006305351698
"[16, 8, 16]",16,8,0.01,0.0,0.0074524381197988,0.9651527550235224
"[16, 8, 16]",21,8,0.01,0.1,0.018881756812334,0.8997578689178384
"[16, 8, 16]",15,8,0.01,0.2,0.0332185477018356,0.829958170404304
"[32, 16, 32]",40,8,0.01,0.0,0.006908078212291,0.968574368128992
"[32, 16, 32]",22,8,0.01,0.1,0.0135210715234279,0.939711943993136
"[32, 16, 32]",24,8,0.01,0.2,0.0419461131095886,0.7914090624401745
"[64, 32, 64]",20,8,0.01,0.0,0.0068265032023191,0.9685975834998258
"[64, 32, 64]",27,8,0.01,0.1,0.0106937317177653,0.9515621979525156
"[64, 32, 64]",32,8,0.01,0.2,0.0144145274534821,0.9315152318541794
